Method:,Hadamard 1,,
Host Date-Time:,22/11/21 @ 12:14:58,,
Header Version:,1,,
System Temp (C):,30.86,,
Detector Temp (C):,0,,
Humidity (%):,43.99,,
Lamp PD:,3807,,
Shift Vector Coefficients:,-1.66903,0.0218938,-6.22478e-05,,
Pixel to Wavelength Coefficients:,1813.49,-0.916957,-0.000241161,,
Serial Number:,6110023,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,1,,
Total Measurement Time in sec:,  2.576,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.398183,0.436943,1042.000000,381.000000
905.331226,0.430617,1221.000000,453.000000
909.259927,0.392517,1353.000000,548.000000
913.184288,0.383316,1460.000000,604.000000
917.104308,0.400706,1575.000000,626.000000
921.019987,0.410828,1710.000000,664.000000
924.931325,0.405070,1873.000000,737.000000
930.139690,0.402626,2143.000000,848.000000
934.040900,0.376301,2388.000000,1004.000000
937.937768,0.397040,2652.000000,1063.000000
941.830296,0.383503,2914.000000,1205.000000
945.718482,0.365741,3164.000000,1363.000000
949.602328,0.352887,3394.000000,1506.000000
953.481833,0.351942,3607.000000,1604.000000
957.356997,0.366389,3822.000000,1644.000000
961.227820,0.354205,4035.000000,1785.000000
965.094302,0.350170,4253.000000,1899.000000
968.956444,0.351600,4467.000000,1988.000000
972.814244,0.350352,4676.000000,2087.000000
976.667703,0.346106,4879.000000,2199.000000
981.798897,0.321839,5130.000000,2445.000000
985.642228,0.337531,5297.000000,2435.000000
989.481217,0.327889,5436.000000,2555.000000
993.315866,0.308432,5562.000000,2734.000000
997.146174,0.307447,5659.000000,2788.000000
1000.972141,0.302774,5739.000000,2858.000000
1004.793768,0.298937,5796.000000,2912.000000
1008.611053,0.292926,5840.000000,2975.000000
1012.423997,0.287191,5868.000000,3029.000000
1016.232601,0.285146,5879.000000,3049.000000
1020.036863,0.285378,5886.000000,3051.000000
1023.836785,0.280525,5895.000000,3090.000000
1028.896595,0.264803,5897.000000,3205.000000
1032.686388,0.274320,5896.000000,3135.000000
1036.471840,0.267153,5892.000000,3185.000000
1040.252951,0.253580,5890.000000,3285.000000
1044.029721,0.255155,5888.000000,3272.000000
1047.802150,0.253187,5899.000000,3293.000000
1051.570239,0.248435,5911.000000,3336.000000
1055.333986,0.248060,5936.000000,3353.000000
1059.093393,0.243749,5958.000000,3399.000000
1062.848459,0.242440,5982.000000,3423.000000
1066.599184,0.245952,6020.000000,3417.000000
1070.345568,0.239083,6066.000000,3498.000000
1075.333994,0.228354,6121.000000,3618.000000
1079.070249,0.237476,6168.000000,3570.000000
1082.802163,0.231008,6213.000000,3650.000000
1086.529736,0.219265,6256.000000,3776.000000
1090.252969,0.220380,6297.000000,3791.000000
1093.971860,0.218621,6346.000000,3836.000000
1097.686411,0.218576,6390.000000,3863.000000
1101.396621,0.211530,6419.000000,3944.000000
1105.102490,0.211493,6451.000000,3964.000000
1108.804018,0.213052,6484.000000,3970.000000
1112.501205,0.207430,6507.000000,4036.000000
1116.194051,0.205883,6516.000000,4056.000000
1121.111093,0.206878,6539.000000,4061.000000
1124.793811,0.204518,6558.000000,4095.000000
1128.472187,0.201441,6561.000000,4126.000000
1132.146223,0.200510,6566.000000,4138.000000
1135.815917,0.199556,6569.000000,4149.000000
1139.481271,0.198044,6573.000000,4166.000000
1143.142284,0.197864,6575.000000,4169.000000
1146.798956,0.194706,6590.000000,4209.000000
1150.451287,0.192090,6594.000000,4237.000000
1154.099277,0.202231,6608.000000,4148.000000
1157.742927,0.196576,6620.000000,4210.000000
1161.382235,0.196454,6637.000000,4222.000000
1166.227894,0.201302,6667.000000,4194.000000
1169.857073,0.202307,6692.000000,4200.000000
1173.481912,0.200315,6728.000000,4242.000000
1177.102410,0.196899,6776.000000,4306.000000
1180.718567,0.204209,6819.000000,4261.000000
1184.330383,0.202105,6880.000000,4320.000000
1187.937858,0.199609,6972.000000,4403.000000
1191.540992,0.204649,7071.000000,4414.000000
1195.139786,0.202944,7155.000000,4484.000000
1198.734238,0.206125,7251.000000,4511.000000
1202.324349,0.208181,7350.000000,4551.000000
1205.910120,0.204504,7461.000000,4659.000000
1209.491550,0.204545,7569.000000,4726.000000
1214.260037,0.201530,7725.000000,4857.000000
1217.831338,0.197180,7859.000000,4991.000000
1221.398298,0.200531,7977.000000,5027.000000
1224.960917,0.194185,8099.000000,5179.000000
1228.519195,0.191944,8216.000000,5281.000000
1232.073133,0.190836,8358.000000,5386.000000
1235.622729,0.188248,8495.000000,5507.000000
1239.167985,0.186479,8631.000000,5618.000000
1242.708899,0.181534,8752.000000,5762.000000
1246.245473,0.182238,8894.000000,5846.000000
1249.777706,0.179465,9046.000000,5984.000000
1253.305598,0.178699,9187.000000,6088.000000
1258.002701,0.175512,9370.000000,6255.000000
1261.520465,0.174064,9509.000000,6369.000000
1265.033887,0.176542,9637.000000,6418.000000
1268.542968,0.171799,9767.000000,6576.000000
1272.047709,0.169122,9921.000000,6721.000000
1275.548108,0.173837,10086.000000,6759.000000
1279.044167,0.174420,10243.000000,6855.000000
1282.535885,0.170682,10373.000000,7002.000000
1286.023262,0.163812,10496.000000,7198.000000
1289.506298,0.168310,10620.000000,7208.000000
1292.984993,0.166620,10727.000000,7309.000000
1296.459347,0.163252,10832.000000,7438.000000
1301.085067,0.164914,10932.000000,7478.000000
1304.549292,0.164140,11003.000000,7540.000000
1308.009177,0.164336,11062.000000,7577.000000
1311.464720,0.163435,11109.000000,7625.000000
1314.915923,0.163183,11171.000000,7672.000000
1318.362785,0.164272,11218.000000,7685.000000
1321.805306,0.165740,11256.000000,7685.000000
1325.243486,0.165836,11279.000000,7699.000000
1328.677325,0.167656,11294.000000,7677.000000
1332.106823,0.166823,11312.000000,7704.000000
1335.531980,0.168710,11317.000000,7674.000000
1338.952797,0.174595,11298.000000,7558.000000
1343.507133,0.177518,11284.000000,7498.000000
1346.917820,0.180489,11266.000000,7435.000000
1350.324167,0.184638,11238.000000,7346.000000
1353.726173,0.191778,11191.000000,7196.000000
1357.123838,0.194144,11163.000000,7139.000000
1360.517162,0.194088,11135.000000,7122.000000
1363.906145,0.199442,11099.000000,7012.000000
1367.290787,0.200582,11052.000000,6964.000000
1370.671089,0.205234,11009.000000,6863.000000
1374.047049,0.206207,10971.000000,6824.000000
1377.418669,0.208825,10950.000000,6770.000000
1380.785947,0.212558,10914.000000,6690.000000
1384.148885,0.217841,10894.000000,6597.000000
1388.626050,0.222900,10893.000000,6520.000000
1391.978858,0.227933,10878.000000,6436.000000
1395.327327,0.235453,10841.000000,6304.000000
1398.671454,0.243309,10813.000000,6175.000000
1402.011240,0.249041,10781.000000,6076.000000
1405.346685,0.262077,10742.000000,5875.000000
1408.677790,0.272438,10698.000000,5713.000000
1412.004553,0.290532,10667.000000,5464.000000
1415.326976,0.300133,10636.000000,5329.000000
1418.645058,0.312529,10601.000000,5162.000000
1421.958799,0.330670,10565.000000,4934.000000
1425.268199,0.341607,10538.000000,4799.000000
1429.673980,0.356206,10519.000000,4632.000000
1432.973251,0.363694,10494.000000,4542.000000
1436.268181,0.376042,10471.000000,4405.000000
1439.558770,0.381025,10474.000000,4356.000000
1442.845019,0.381150,10465.000000,4351.000000
1446.126927,0.387608,10446.000000,4279.000000
1449.404493,0.392047,10430.000000,4229.000000
1452.677719,0.393959,10424.000000,4208.000000
1455.946604,0.401711,10410.000000,4128.000000
1459.211148,0.401319,10388.000000,4123.000000
1462.471351,0.395660,10353.000000,4163.000000
1465.727213,0.400981,10317.000000,4098.000000
1470.061610,0.400209,10266.000000,4085.000000
1473.307344,0.399195,10222.000000,4077.000000
1476.548736,0.396960,10177.000000,4080.000000
1479.785788,0.396999,10143.000000,4066.000000
1483.018499,0.399986,10105.000000,4023.000000
1486.246869,0.397832,10055.000000,4023.000000
1489.470897,0.395732,10004.000000,4022.000000
1492.690586,0.392628,9955.000000,4031.000000
1495.905933,0.393296,9906.000000,4005.000000
1499.116939,0.388562,9850.000000,4026.000000
1502.323604,0.386252,9788.000000,4022.000000
1505.525929,0.381016,9726.000000,4045.000000
1509.788942,0.376695,9644.000000,4051.000000
1512.981138,0.379831,9582.000000,3996.000000
1516.168993,0.379025,9502.000000,3970.000000
1519.352506,0.378375,9440.000000,3950.000000
1522.531679,0.374517,9366.000000,3954.000000
1525.706511,0.377627,9283.000000,3891.000000
1528.877003,0.374986,9203.000000,3881.000000
1532.043153,0.377543,9119.000000,3823.000000
1535.204962,0.376934,9030.000000,3791.000000
1538.362431,0.376022,8935.000000,3759.000000
1541.515558,0.367780,8844.000000,3792.000000
1544.664345,0.363694,8745.000000,3785.000000
1548.855975,0.356125,8603.000000,3789.000000
1551.994632,0.361217,8500.000000,3700.000000
1555.128949,0.362661,8390.000000,3640.000000
1558.258926,0.359922,8280.000000,3615.000000
1561.384561,0.352728,8162.000000,3623.000000
1564.505855,0.355150,8040.000000,3549.000000
1567.622808,0.353418,7920.000000,3510.000000
1570.735421,0.353508,7793.000000,3453.000000
1573.843693,0.353318,7661.000000,3396.000000
1576.947623,0.351117,7528.000000,3354.000000
1580.047213,0.349387,7393.000000,3307.000000
1583.142462,0.355096,7253.000000,3202.000000
1586.233370,0.350977,7106.000000,3167.000000
1590.347828,0.344549,6922.000000,3131.000000
1593.428607,0.353354,6775.000000,3003.000000
1596.505046,0.347901,6637.000000,2979.000000
1599.577143,0.331873,6491.000000,3023.000000
1602.644900,0.337072,6341.000000,2918.000000
1605.708315,0.331997,6190.000000,2882.000000
1608.767390,0.328277,6035.000000,2834.000000
1611.822124,0.320697,5895.000000,2817.000000
1614.872517,0.316443,5736.000000,2768.000000
1617.918569,0.320752,5586.000000,2669.000000
1620.960280,0.316795,5442.000000,2624.000000
1623.997650,0.313152,5304.000000,2579.000000
1628.040725,0.308999,5115.000000,2511.000000
1631.067966,0.311636,4974.000000,2427.000000
1634.090867,0.304460,4830.000000,2396.000000
1637.109426,0.301215,4692.000000,2345.000000
1640.123645,0.305542,4547.000000,2250.000000
1643.133523,0.303006,4406.000000,2193.000000
1646.139060,0.291742,4256.000000,2174.000000
1649.140256,0.283094,4103.000000,2138.000000
1652.137111,0.278424,3949.000000,2080.000000
1655.129625,0.295432,3777.000000,1913.000000
1658.117799,0.296457,3590.000000,1814.000000
1661.101631,0.283977,3371.000000,1753.000000
1665.073322,0.258323,3029.000000,1671.000000
1668.047026,0.251880,2729.000000,1528.000000
1671.016388,0.247605,2414.000000,1365.000000
1673.981410,0.247832,2095.000000,1184.000000
1676.942091,0.233321,1790.000000,1046.000000
1679.898431,0.225309,1512.000000,900.000000
1682.850430,0.232771,1275.000000,746.000000
1685.798089,0.232691,1068.000000,625.000000
1688.741406,0.221688,903.000000,542.000000
1691.680383,0.258560,769.000000,424.000000
1694.615018,0.291859,656.000000,335.000000
1697.545313,0.287386,564.000000,291.000000
1701.445620,0.185134,461.000000,301.000000
